name,material,size,status,image,matched_artwork,source,score,match_note
Ruby High Priestess,Metal trading card,trading card,needs artwork review,,ruby_moonlight_11x17_300dpi.png,artwork zip,5.2,tokens 1/3; sequence 0.40
Sadness Deep Inside,Metal trading card,trading card,needs artwork review,,,,,No candidate artwork
Suzuka Strength,Metal trading card,trading card,needs artwork review,,,,,No candidate artwork
Toga Boyfriend,Metal trading card,trading card,needs artwork review,,TogaRARE_ENG_TC.jpg,artwork zip,44.1,tokens 1/2; sequence 0.59
Toga Food,Metal trading card,trading card,needs artwork review,,Toga_TC_6Power.jpg,artwork zip,42.3,tokens 1/2; sequence 0.57
Toga Gucci,Metal trading card,trading card,needs artwork review,,TogaRARE_ENG_TC.jpg,artwork zip,37.9,tokens 1/2; sequence 0.52
Toga in the Way,Metal trading card,trading card,needs artwork review,,Toga_RareStab_TC.jpg,artwork zip,40.6,tokens 1/4; sequence 0.55
Toga Lovely Smile,Metal trading card,trading card,needs artwork review,,TogaRARE_ENG_TC.jpg,artwork zip,38.9,tokens 1/3; sequence 0.53
Toga Thank You-End Scene,Metal trading card,trading card,needs artwork review,,2838209485-metal-trading-card-trading-card-toga-black-mask.png,existing catalog image,35.7,tokens 1/5; sequence 0.36
Toga-Lovers,Metal trading card,trading card,needs artwork review,,Toga_Manga_Cover.jpg,corrections zip: Large Metal Prints.zip,75.4,tokens 1/2; sequence 0.86
